mass    ggH          qqH         WH          ZH          ttH       BR(WW)      BR(ZZ)      BR(bb)      BR(tautau)  BR(gg)
246.0	4.945000    0.596900	0.058080    0.035360	0.014560  0.70200000  0.29600000  0.00107000  0.00013400  0.00002610
248.0	4.874000    0.588500	0.056260    0.034230	0.014180  0.70200000  0.29600000  0.00104000  0.00013100  0.00002540
250.0	4.802000    0.580200	0.054500    0.033140	0.013800  0.70100000  0.29700000  0.00101000  0.00012700  0.00002470
252.0	4.734000    0.572000	0.052800    0.032080	0.013480  0.70100000  0.29700000  0.00098700  0.00012400  0.00002410
254.0	4.667000    0.564000	0.051160    0.031060	0.013160  0.70000000  0.29800000  0.00096100  0.00012100  0.00002340
256.0	4.602000    0.556200	0.049580    0.030070	0.012840  0.70000000  0.29800000  0.00093600  0.00011800  0.00002280
258.0	4.539000    0.548400	0.048060    0.029120	0.012520  0.69900000  0.29900000  0.00091200  0.00011500  0.00002220
260.0	4.479000    0.540800	0.046600    0.028210	0.012200  0.69900000  0.29900000  0.00088900  0.00011200  0.00002160
262.0	4.421000    0.533300	0.045220    0.027340	0.011920  0.69800000  0.30000000  0.00086700  0.00011000  0.00002110
264.0	4.366000    0.525900	0.043890    0.026500	0.011640  0.69800000  0.30000000  0.00084600  0.00010700  0.00002060
266.0	4.308000    0.518700	0.042600    0.025690	0.011360  0.69800000  0.30100000  0.00082500  0.00010500  0.00002010
268.0	4.253000    0.511600	0.041360    0.024910	0.011080  0.69700000  0.30100000  0.00080500  0.00010200  0.00001960
270.0	4.198000    0.504700	0.040160    0.024150	0.010800  0.69700000  0.30200000  0.00078600  0.00010000  0.00001910
272.0	4.149000    0.497800	0.038970    0.023420	0.010580  0.69600000  0.30200000  0.00076800  0.00009790  0.00001860
274.0	4.100000    0.491000	0.037820    0.022720	0.010360  0.69600000  0.30200000  0.00075000  0.00009580  0.00001820
276.0	4.053000    0.484500	0.036710    0.022040	0.010140  0.69600000  0.30300000  0.00073300  0.00009370  0.00001770
278.0	4.008000    0.478000	0.035630    0.021380	0.009920  0.69500000  0.30300000  0.00071600  0.00009170  0.00001730
280.0	3.964000    0.471500	0.034590    0.020750	0.009700  0.69500000  0.30400000  0.00070000  0.00008980  0.00001690
282.0	3.921000    0.465200	0.033590    0.020140	0.009500  0.69500000  0.30400000  0.00068400  0.00008790  0.00001650
284.0	3.880000    0.459000	0.032630    0.019540	0.009300  0.69400000  0.30400000  0.00066900  0.00008610  0.00001610
286.0	3.841000    0.453000	0.031700    0.018970	0.009100  0.69400000  0.30500000  0.00065500  0.00008430  0.00001570
288.0	3.803000    0.447000	0.030800    0.018420	0.008900  0.69400000  0.30500000  0.00064100  0.00008260  0.00001540
290.0	3.767000    0.471600	0.029930    0.017880	0.008700  0.69300000  0.30500000  0.00062700  0.00008090  0.00001500
295.0	3.683000    0.456200	0.027890    0.016620	0.008300  0.69200000  0.30600000  0.00059500  0.00007700  0.00001420
300.0	3.606000    0.440800	0.026020    0.015470	0.007900  0.69200000  0.30700000  0.00056500  0.00007340  0.00001340
305.0	3.539000    0.426600	0.000000    0.000000	0.000000  0.69100000  0.30800000  0.00053700  0.00007000  0.00001270
310.0	3.482000    0.413100	0.000000    0.000000	0.000000  0.69000000  0.30800000  0.00051200  0.00006680  0.00001210
315.0	3.434000    0.399900	0.000000    0.000000	0.000000  0.69000000  0.30900000  0.00048800  0.00006390  0.00001140
320.0	3.392000    0.387500	0.000000    0.000000	0.000000  0.68900000  0.30900000  0.00046600  0.00006120  0.00001090
325.0	3.364000    0.375300	0.000000    0.000000	0.000000  0.68900000  0.31000000  0.00044500  0.00005860  0.00001030
330.0	3.349000    0.363700	0.000000    0.000000	0.000000  0.68800000  0.31000000  0.00042600  0.00005630  0.00000983
335.0	3.349000    0.352600	0.000000    0.000000	0.000000  0.68700000  0.31100000  0.00040900  0.00005410  0.00000937
340.0	3.367000    0.342200	0.000000    0.000000	0.000000  0.68700000  0.31100000  0.00039200  0.00005200  0.00000891
345.0	3.405000    0.330300	0.000000    0.000000	0.000000  0.68500000  0.31100000  0.00037700  0.00005020  0.00000844
350.0	3.406000    0.320000	0.000000    0.000000	0.000000  0.67600000  0.30700000  0.00035700  0.00004760  0.00000772
360.0	3.390000    0.302800	0.000000    0.000000	0.000000  0.65100000  0.29700000  0.00031500  0.00004230  0.00000625
370.0	3.336000    0.289600	0.000000    0.000000	0.000000  0.62800000  0.28700000  0.00028100  0.00003780  0.00000503
380.0	3.235000    0.277600	0.000000    0.000000	0.000000  0.60900000  0.27900000  0.00025200  0.00003400  0.00000405
390.0	3.093000    0.266000	0.000000    0.000000	0.000000  0.59400000  0.27300000  0.00022800  0.00003090  0.00000327
400.0	2.924000    0.254300	0.000000    0.000000	0.000000  0.58200000  0.26900000  0.00020800  0.00002840  0.00000264
420.0	2.552000    0.231700	0.000000    0.000000	0.000000  0.56400000  0.26300000  0.00017600  0.00002430  0.00000174
440.0	2.180000    0.210300	0.000000    0.000000	0.000000  0.55400000  0.26000000  0.00015300  0.00002120  0.00000114
450.0	2.003000    0.175100	0.000000    0.000000	0.000000  0.55150000  0.25950000  0.00014400  0.00002000  0.00000075
460.0	1.837000    0.190500	0.000000    0.000000	0.000000  0.54900000  0.25900000  0.00013500  0.00001880  0.00000049
480.0	1.538000    0.172400	0.000000    0.000000	0.000000  0.54600000  0.25900000  0.00012000  0.00001690  0.00000031
500.0	1.283000    0.156100	0.000000    0.000000	0.000000  0.54600000  0.26100000  0.00010800  0.00001530  0.00000020
520.0	1.069000    0.141400	0.000000    0.000000	0.000000  0.54700000  0.26200000  0.00009800  0.00001400  0.00000012
540.0	0.891200    0.128300	0.000000    0.000000	0.000000  0.54900000  0.26500000  0.00008950  0.00001280  0.00000010
550.0	0.814100    0.103800	0.000000    0.000000	0.000000  0.55505000  0.26600000  0.00008580  0.00001230  0.00000008
560.0	0.744200    0.116600	0.000000    0.000000	0.000000  0.55200000  0.26700000  0.00008210  0.00001180  0.00000006
580.0	0.622900    0.106200	0.000000    0.000000	0.000000  0.55500000  0.27000000  0.00007570  0.00001100  0.00000005
600.0	0.523000    0.096880	0.000000    0.000000	0.000000  0.55800000  0.27200000  0.00007000  0.00001020  0.00000005
620.0	0.440300    0.088610	0.000000    0.000000	0.000000  0.56200000  0.27500000  0.00006500  0.00000953  0.00000005
640.0	0.371800    0.081210	0.000000    0.000000	0.000000  0.56600000  0.27700000  0.00006050  0.00000891  0.00000005
650.0	0.342300    0.063970	0.000000    0.000000	0.000000  0.56750000  0.27850000  0.00005850  0.00000863  0.00000006
660.0	0.315200    0.074590	0.000000    0.000000	0.000000  0.56900000  0.28000000  0.00005640  0.00000835  0.00000007
680.0	0.268000    0.068650	0.000000    0.000000	0.000000  0.57300000  0.28200000  0.00005270  0.00000784  0.00000009
700.0	0.228800    0.063300	0.000000    0.000000	0.000000  0.57700000  0.28500000  0.00004940  0.00000737  0.00000011
720.0	0.196200    0.058530	0.000000    0.000000	0.000000  0.58100000  0.28700000  0.00004630  0.00000694  0.00000014
740.0	0.168700    0.054200	0.000000    0.000000	0.000000  0.58400000  0.28900000  0.00004340  0.00000655  0.00000017
750.0	0.156600    0.040580	0.000000    0.000000	0.000000  0.58600000  0.29000000  0.00004210  0.00000636  0.00000018
760.0	0.145500    0.050320	0.000000    0.000000	0.000000  0.58800000  0.29100000  0.00004080  0.00000618  0.00000019
780.0	0.126000    0.046820	0.000000    0.000000	0.000000  0.59100000  0.29300000  0.00003840  0.00000583  0.00000022
800.0	0.109500    0.043650	0.000000    0.000000	0.000000  0.59400000  0.29500000  0.00003620  0.00000552  0.00000024
820.0	0.095470    0.040780	0.000000    0.000000	0.000000  0.59700000  0.29700000  0.00003410  0.00000522  0.00000027
840.0	0.083460    0.038150	0.000000    0.000000	0.000000  0.60100000  0.29900000  0.00003210  0.00000494  0.00000029
850.0	0.078110    0.026320	0.000000    0.000000	0.000000  0.60200000  0.30000000  0.00003120  0.00000480  0.00000030
860.0	0.073210    0.035790	0.000000    0.000000	0.000000  0.60400000  0.30100000  0.00003030  0.00000467  0.00000032
880.0	0.064430    0.033630	0.000000    0.000000	0.000000  0.60600000  0.30300000  0.00002860  0.00000442  0.00000034
900.0	0.056840    0.031640	0.000000    0.000000	0.000000  0.60900000  0.30400000  0.00002700  0.00000419  0.00000036
920.0	0.050300    0.029860	0.000000    0.000000	0.000000  0.61200000  0.30600000  0.00002550  0.00000397  0.00000038
940.0	0.044630    0.028200	0.000000    0.000000	0.000000  0.61400000  0.30700000  0.00002410  0.00000376  0.00000039
950.0	0.042060    0.017190	0.000000    0.000000	0.000000  0.61600000  0.30800000  0.00002340  0.00000366  0.00000040
960.0	0.039690    0.026690	0.000000    0.000000	0.000000  0.61700000  0.30800000  0.00002270  0.00000356  0.00000041
980.0	0.035390    0.025240	0.000000    0.000000	0.000000  0.61900000  0.31000000  0.00002150  0.00000338  0.00000043
1000.0  0.031630    0.023990    0.000000    0.000000    0.000000  0.62100000  0.31100000  0.00002030  0.00000320  0.00000044
